route,latitude,longitude,speed,event_type,severity,confidence,pawar_prob,gyro_peak,dip_magnitude,bump_magnitude,accel_x_peak,total_z_dev,cluster
E,30.69252659245218,76.71367026052638,3.3748877924619705,Speed Bump,4.9579287,0.65,0.9998418092727661,0.3257276383986273,3.4379134750366216,2.759497108459472,1.752594828605652,3.4379134750366216,77
E,30.692582268926515,76.71362902937352,4.2231659230364995,Speed Bump,4.293681,0.65,0.9991218447685242,0.24001937824847502,3.0765972709655767,2.290503921508787,2.120211601257324,3.0765972709655767,77
E,30.692755773774884,76.71348162810887,2.414059984632494,Speed Bump,10.0,0.65,0.9955472946166992,0.7567713863206916,6.6323314285278325,7.71742576599121,1.970085382461548,7.71742576599121,78
E,30.692789826201246,76.71345890597706,2.297241446287969,Speed Bump,3.3786654,0.65,0.9909656047821045,0.3444131389609369,1.8634358024597173,2.3598961257934548,2.592780590057373,2.3598961257934548,78
E,30.692831254575527,76.71345409911797,2.344646924384009,Speed Bump,7.197611,0.65,1.0,0.7301531559190483,4.062439975738526,4.934573593139648,7.54912805557251,4.934573593139648,78
E,30.692859927462724,76.71348645048388,2.411943162303157,Speed Bump,4.6650467,0.65,0.7102246880531311,0.4706771165385122,3.4474845504760747,2.3838238143920893,1.961617350578308,3.4474845504760747,78
E,30.692965976431605,76.713529979668,2.3449689792264508,Speed Bump,3.545206,0.65,0.9229148030281067,0.5425261314288528,2.1481819725036626,2.2833256149291987,1.6982516050338743,2.2833256149291987,78
E,30.693010950052265,76.7134940827804,3.6927538421318378,Speed Bump,6.0969124,0.65,0.9999345541000366,0.2387474451699633,3.1938453292846685,4.427295150756835,1.8263121843338013,4.427295150756835,78
E,30.693084628502977,76.71343499500139,6.16465180213773,Speed Bump,10.0,0.65,1.0,0.32269920278880115,7.632531461715699,6.602370681762695,2.2082035541534424,7.632531461715699,78
E,30.693188518875054,76.7133487550096,7.216704008534448,Speed Bump,10.0,0.65,0.9999779462814331,0.5727541199058596,7.211394605636597,7.439858856201171,2.0287442207336426,7.439858856201171,78
E,30.69352847730225,76.71306430094467,7.608265946188084,Pothole,10.0,0.95,1.0,0.8640961383637726,25.126457748413088,41.977860870361326,2.7422842979431152,41.977860870361326,141
E,30.69371974639906,76.71290245284669,6.438069551798439,Speed Bump,2.8292732,0.65,0.45151957869529724,0.21355242545156103,1.5571542358398442,1.9794372940063472,1.2689229249954224,1.9794372940063472,79
E,30.693815401176757,76.71281921023403,6.605966375461297,Speed Bump,10.0,0.65,1.0,0.3522498188401329,7.847885427474976,12.78781646728516,2.3064093589782715,12.78781646728516,79
E,30.69398779737533,76.71267136839428,5.240535719786925,Speed Bump,5.681518,0.65,0.5517879128456116,0.20611290261524165,3.80162244796753,3.300275268554687,2.297457695007324,3.80162244796753,80
E,30.69406004874741,76.71261481042121,4.631298537730044,Speed Bump,3.2676387,0.65,0.7962619066238403,0.0697681601397927,1.930435237884522,2.1541132354736323,1.1668506860733032,2.1541132354736323,80
E,30.694126212215686,76.71256406203045,4.6515993762056835,Speed Bump,4.7339606,0.65,0.9998316764831543,0.10650206904991807,3.356557426452637,2.560893478393556,1.6461169719696045,3.356557426452637,80
